food_item,category,calories_kcal,protein_,carbohydrates_,fat_,fiber_,sugars_,sodium_(mg),cholesterol_(mg),meal_type,water_intake_(ml),impact_tags,image,timestamp,quantity,calculated_tags
Sweet Tea (16 oz),Beverage,180.0,0.0,46.0,0.0,0.0,46.0,15.0,0.0,Lunch,473.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'caffeine', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'caffeine', 'energyBoost']"
Gyro (1 sandwich),Meal/Meat,600.0,25.0,55.0,30.0,5.0,6.0,1200.0,80.0,Dinner,250.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']"
Pita Bread (White 1 large),Grain,220.0,7.0,45.0,2.0,2.0,2.0,440.0,0.0,Dinner,0.0,"['highCarb', 'lowFibre', 'energyBoost', 'wholeFood', 'processed']",,,,"['energyBoost', 'processed', 'highCarb', 'lowFibre']"
Tzatziki Sauce (2 tbsp),Condiment,30.0,1.5,2.0,2.0,0.0,1.5,100.0,5.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Baklava (1 piece),Dessert,280.0,3.0,30.0,18.0,2.0,20.0,80.0,10.0,Snack,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Coconut (shredded 1/4 cup),Fruit,110.0,1.0,4.5,10.5,2.0,1.5,3.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
S'more (1 serving),Dessert,140.0,2.0,25.0,4.0,1.0,15.0,90.0,0.0,Snack,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Graham Cracker (1 large rectangle),Grain/Processed,60.0,1.0,11.0,1.5,0.5,4.0,70.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre']",,,,"['lowProtein', 'lowFibre']"
Marshmallow (1 large),Dessert,23.0,0.1,5.8,0.0,0.0,4.0,5.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Chocolate (Hershey's bar 1 segment),Dessert,25.0,0.3,3.0,1.5,0.2,2.8,4.0,1.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Chicken Parm Sandwich,Meal/Processed,650.0,40.0,55.0,30.0,6.0,9.0,1400.0,100.0,Lunch,500.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']"
Mozzarella (1 slice),Dairy,80.0,6.0,1.0,6.0,0.0,0.5,150.0,20.0,Lunch,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Bread Roll (hoagie),Grain,200.0,6.0,38.0,2.0,2.0,3.0,400.0,0.0,Lunch,0.0,"['highCarb', 'lowFibre', 'energyBoost', 'wholeFood', 'processed']",,,,"['energyBoost', 'processed', 'highCarb', 'lowFibre']"
Artichoke (1 medium steamed),Vegetable,60.0,4.2,13.4,0.2,6.9,1.2,112.0,0.0,Dinner,0.0,"['lowProtein', 'gutFriendly', 'highFibre', 'caffeine', 'wholeFood']",,,,"['lowProtein', 'gutFriendly', 'highFibre', 'caffeine']"
Mayonnaise (1 tbsp for dipping),Condiment,90.0,0.1,0.1,10.0,0.0,0.1,70.0,5.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Calamari (fried 3oz),Meal/Seafood,150.0,13.0,8.0,7.0,1.0,1.0,600.0,220.0,Dinner,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Lemon Wedge (for calamari),Condiment,3.0,0.1,1.0,0.0,0.3,0.2,0.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Root Beer (1 can),Beverage,150.0,0.0,40.0,0.0,0.0,40.0,55.0,0.0,Snack,355.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Chicken McNuggets (6 pcs),Meal/Processed,270.0,15.0,16.0,16.0,1.0,0.0,500.0,40.0,Lunch,0.0,"['highProtein', 'lowFibre', 'noAddedSugar']",,,,"['highProtein', 'lowFibre', 'noAddedSugar']"
BBQ Sauce (2 tbsp),Condiment,60.0,0.5,15.0,0.0,0.5,12.0,350.0,0.0,Lunch,0.0,"['sugary', 'lowProtein', 'wholeFood', 'lowFibre']",,,,"['sugary', 'lowProtein', 'lowFibre']"
Honey (1 tbsp),Condiment,64.0,0.1,17.3,0.0,0.0,17.2,1.0,0.0,Breakfast,0.0,"['sugary', 'lowProtein', 'wholeFood', 'lowFibre']",,,,"['sugary', 'lowProtein', 'lowFibre']"
Tofu Scramble,Meal/Vegetarian,250.0,20.0,8.0,16.0,4.0,3.0,300.0,0.0,Breakfast,250.0,"['highProtein', 'wholeFood', 'gutFriendly', 'lowCarb']",,,,"['highProtein', 'gutFriendly', 'lowCarb']"
Turmeric (1 tsp),Condiment,9.0,0.3,1.9,0.1,0.7,0.1,1.0,0.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Nutritional Yeast (1 tbsp),Condiment,20.0,3.0,2.0,0.0,1.0,0.0,10.0,0.0,Breakfast,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Seitan (3oz),Protein/Vegetarian,90.0,18.0,4.0,1.0,1.0,1.0,300.0,0.0,Dinner,0.0,"['highProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['highProtein', 'lowFibre', 'lowCarb']"
Vegetable Broth (1 cup),Beverage,15.0,1.0,3.0,0.0,1.0,2.0,550.0,0.0,Dinner,240.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Mashed Cauliflower (1 cup),Vegetable,140.0,5.0,12.0,8.0,5.0,4.0,400.0,25.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'highFibre', 'gutFriendly']",,,,"['lowProtein', 'gutFriendly', 'highFibre']"
Peanut Sauce (2 tbsp),Condiment,80.0,2.0,4.0,6.0,1.0,3.0,250.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Tempeh (3oz),Protein/Vegetarian,160.0,16.0,8.0,9.0,5.0,0.0,10.0,0.0,Lunch,0.0,"['highProtein', 'noAddedSugar', 'highFibre', 'lowCarb', 'gutFriendly', 'wholeFood']",,,,"['highProtein', 'noAddedSugar', 'highFibre', 'lowCarb', 'gutFriendly']"
Sauerkraut (1/2 cup),Vegetable,14.0,0.7,3.1,0.1,2.0,1.2,468.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Rye Crispbread (2 slices),Grain,70.0,2.0,14.0,0.5,3.0,0.0,120.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'processed', 'noAddedSugar']",,,,"['lowProtein', 'processed', 'noAddedSugar']"
Capers (1 tbsp),Condiment,2.0,0.2,0.4,0.1,0.3,0.1,200.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Chicken Liver (2 oz cooked),Protein/Meat,91.0,13.6,0.6,3.6,0.0,0.0,50.0,320.0,Dinner,0.0,"['lowCarb', 'highProtein', 'lowFibre', 'noAddedSugar']",,,,"['noAddedSugar', 'lowFibre', 'lowCarb']"
Onion (1/2 cup raw chopped),Vegetable,32.0,0.9,7.5,0.1,1.4,3.8,3.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Bok Choy (1 cup steamed),Vegetable,10.0,1.5,2.0,0.1,1.0,1.0,40.0,0.0,Dinner,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'caffeine', 'wholeFood']",,,,"['lowProtein', 'caffeine', 'lowFibre', 'lowCarb']"
Gummy Bears (10 pcs),Snack/Dessert,100.0,2.0,22.0,0.0,0.0,15.0,10.0,0.0,Snack,0.0,"['lowProtein', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['sugary', 'lowProtein', 'energyBoost', 'lowFibre']"
Whiskey (1.5 oz shot),Beverage,105.0,0.0,0.1,0.0,0.0,0.1,1.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Dates (2 medium Medjool),Fruit,133.0,0.8,36.0,0.1,3.2,32.0,1.0,0.0,Snack,0.0,"['lowProtein', 'highCarb', 'sugary', 'energyBoost', 'wholeFood']",,,,"['sugary', 'lowProtein', 'energyBoost', 'highCarb']"
Tahini (1 tbsp),Condiment,89.0,2.6,3.2,8.0,1.4,0.1,17.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Chickpeas (1/2 cup canned),Legume,135.0,7.0,22.0,2.0,6.0,3.0,250.0,0.0,Lunch,0.0,"['gutFriendly', 'energyBoost', 'wholeFood', 'highFibre']",,,,"['gutFriendly', 'energyBoost', 'highFibre']"
Lettuce (Romaine 2 cups),Vegetable,16.0,1.0,3.0,0.3,2.0,1.0,10.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Italian Dressing (2 tbsp),Condiment,70.0,0.0,3.0,7.0,0.0,2.0,300.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Croutons (1/4 cup),Grain,50.0,1.5,7.0,2.0,0.5,0.5,140.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Turkey Sausage (1 patty),Protein/Meat,70.0,9.0,1.0,4.0,0.0,0.5,280.0,35.0,Breakfast,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Maple Syrup (1 tbsp),Condiment,52.0,0.0,13.5,0.0,0.0,12.0,1.0,0.0,Breakfast,0.0,"['sugary', 'lowProtein', 'wholeFood', 'lowFibre']",,,,"['sugary', 'lowProtein', 'lowFibre']"
Quesadilla (Cheese 1 medium),Meal/Processed,400.0,18.0,35.0,22.0,3.0,2.0,700.0,50.0,Lunch,250.0,"['highProtein', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['highProtein', 'energyBoost', 'highCarb']"
Sour Cream (1 tbsp),Condiment/Dairy,30.0,0.4,0.6,2.9,0.0,0.4,12.0,6.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Salsa (2 tbsp),Condiment,10.0,0.5,2.0,0.0,0.5,1.0,120.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Red Cabbage (1 cup raw),Vegetable,22.0,1.1,5.2,0.1,1.6,2.8,8.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Duck (3oz roasted),Protein/Meat,285.0,16.0,0.0,24.0,0.0,0.0,65.0,72.0,Dinner,0.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Orange Sauce (1/4 cup for duck),Condiment,90.0,0.5,22.0,0.0,0.5,20.0,200.0,0.0,Dinner,0.0,"['lowProtein', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['sugary', 'lowProtein', 'energyBoost', 'lowFibre']"
Wild Rice (1 cup cooked),Grain,166.0,6.5,35.0,0.6,3.0,1.2,5.0,0.0,Dinner,0.0,"['energyBoost', 'highCarb', 'high_glycemic']",,,,"['energyBoost', 'highCarb']"
Cupcake (Vanilla 1 medium),Dessert,240.0,2.0,35.0,11.0,1.0,25.0,200.0,30.0,Snack,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Frosting (Vanilla 2 tbsp),Condiment,140.0,0.0,22.0,6.0,0.0,22.0,65.0,0.0,Snack,0.0,"['lowProtein', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['sugary', 'lowProtein', 'energyBoost', 'lowFibre']"
Hot Sauce (1 tsp Tabasco),Condiment,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,Breakfast,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Bison Burger (1 patty),Protein/Meat,150.0,22.0,0.0,7.0,0.0,0.0,65.0,70.0,Lunch,250.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Pretzel Bun (1 medium),Grain,230.0,8.0,45.0,2.0,2.0,4.0,550.0,0.0,Lunch,0.0,"['energyBoost', 'wholeFood', 'highCarb', 'lowFibre']",,,,"['energyBoost', 'highCarb', 'lowFibre']"
Spicy Mustard (1 tbsp),Condiment,10.0,0.5,1.0,0.5,0.5,0.0,120.0,0.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Pasta Salad (1 cup),Meal/Pasta,280.0,8.0,30.0,14.0,4.0,5.0,450.0,10.0,Lunch,0.0,"['gutFriendly', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['gutFriendly', 'energyBoost', 'wholeFood', 'highCarb']"
Salami (3 slices),Protein/Processed,110.0,6.0,1.0,9.0,0.0,0.5,500.0,30.0,Lunch,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Pepperoncini (2 peppers),Vegetable,10.0,0.5,2.0,0.0,1.0,1.0,350.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Coconut Milk (1/4 cup canned),Condiment,111.0,1.1,2.9,11.6,0.5,1.5,8.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Green Curry Paste (1 tbsp),Condiment,30.0,0.5,2.0,2.5,1.0,1.0,400.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Chicken Thigh (1 roasted),Protein/Meat,210.0,24.0,0.0,13.0,0.0,0.0,90.0,120.0,Dinner,0.0,"['lowCarb', 'highProtein', 'lowFibre', 'noAddedSugar']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Jasmine Rice (1 cup cooked),Grain,205.0,4.3,45.0,0.4,0.6,0.0,2.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'high_glycemic', 'highCarb', 'lowFibre', 'energyBoost']",,,,"['lowProtein', 'noAddedSugar', 'highCarb', 'lowFibre', 'energyBoost']"
Thai Iced Tea (1 glass),Beverage,250.0,3.0,35.0,12.0,0.0,33.0,50.0,35.0,Snack,300.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'caffeine', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'caffeine', 'energyBoost']"
Papaya (1 cup cubes),Fruit,62.0,0.6,15.7,0.4,2.5,11.0,12.0,0.0,Snack,0.0,"['sugary', 'lowProtein', 'wholeFood']",,,,"['sugary', 'lowProtein']"
Lime Juice (1 tbsp),Condiment,4.0,0.1,1.3,0.0,0.1,0.2,0.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Macaroni Salad (1 cup),Meal/Pasta,380.0,8.0,30.0,25.0,3.0,6.0,750.0,20.0,Lunch,0.0,"['energyBoost', 'wholeFood', 'highCarb']",,,,"['energyBoost', 'wholeFood', 'highCarb']"
Celery (1 stalk),Vegetable,6.0,0.3,1.2,0.1,0.6,0.5,32.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Blue Cheese (1 oz),Dairy,100.0,6.0,0.7,8.0,0.0,0.1,325.0,21.0,Snack,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Dark Chocolate (1 oz 70%),Dessert,170.0,2.2,13.0,12.0,3.0,7.0,5.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood']",,,,['lowProtein']
Acai Bowl (1 serving),Meal/Fruit,350.0,5.0,60.0,12.0,10.0,30.0,40.0,0.0,Breakfast,250.0,"['lowProtein', 'highCarb', 'sugary', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'sugary', 'highFibre', 'gutFriendly', 'energyBoost']"
Granola (1/4 cup topping),Grain,120.0,3.0,15.0,6.0,3.0,7.0,20.0,0.0,Breakfast,0.0,"['lowProtein', 'wholeFood']",,,,['lowProtein']
Coconut Flakes (1 tbsp topping),Fruit,35.0,0.3,1.5,3.3,0.7,0.5,1.0,0.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Honey (1 tsp drizzle),Condiment,21.0,0.0,5.8,0.0,0.0,5.8,0.0,0.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Shrimp Cocktail (4 large shrimp),Protein/Seafood,60.0,10.0,1.0,1.0,0.0,0.5,300.0,110.0,Snack,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Cocktail Sauce (2 tbsp),Condiment,30.0,0.5,7.0,0.0,0.5,5.0,450.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Pork Bun (1 steamed),Meal/Processed,220.0,8.0,30.0,8.0,2.0,6.0,400.0,20.0,Lunch,0.0,"['highCarb', 'lowFibre', 'caffeine', 'energyBoost', 'wholeFood']",,,,"['caffeine', 'energyBoost', 'highCarb', 'lowFibre']"
Dim Sum (Siu Mai 3 pcs),Meal/Processed,180.0,12.0,10.0,10.0,2.0,1.0,550.0,60.0,Lunch,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Soy Sauce (1 tbsp for dipping),Condiment,9.0,1.0,1.0,0.0,0.1,0.4,920.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Oyster (1 medium raw),Protein/Seafood,8.0,1.0,0.5,0.2,0.0,0.0,50.0,10.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Mignonette Sauce (1 tbsp),Condiment,5.0,0.0,1.0,0.0,0.0,0.5,30.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Beef Pho (1 large bowl),Meal/Soup,450.0,30.0,55.0,12.0,4.0,5.0,1500.0,60.0,Dinner,500.0,"['highProtein', 'highCarb', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'energyBoost', 'gutFriendly', 'highCarb']"
Bean Sprouts (1/4 cup garnish),Vegetable,8.0,0.8,1.5,0.1,0.4,1.0,1.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Thai Basil (garnish),Condiment,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Lime Wedge (garnish),Condiment,3.0,0.1,1.0,0.0,0.3,0.2,0.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Jalapeno (1 tbsp sliced),Vegetable,4.0,0.1,0.8,0.1,0.4,0.5,1.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Hoisin Sauce (1 tbsp),Condiment,35.0,0.3,8.0,0.2,0.1,5.0,220.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Sriracha (1 tsp),Condiment,5.0,0.1,1.0,0.1,0.1,0.8,80.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Crepe (1 plain),Grain,90.0,3.5,14.0,2.0,0.5,3.0,100.0,25.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'lowFibre']",,,,"['lowProtein', 'lowFibre']"
Nutella (1 tbsp),Condiment,100.0,1.5,11.0,6.0,1.0,10.0,10.0,0.0,Breakfast,0.0,"['sugary', 'lowProtein', 'wholeFood', 'lowFibre']",,,,"['sugary', 'lowProtein', 'lowFibre']"
Powdered Sugar (1 tsp),Condiment,10.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Sake (3 oz),Beverage,117.0,0.4,3.8,0.0,0.0,0.0,4.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Edamame (in pod 1 cup),Legume,120.0,11.0,9.0,5.0,5.0,2.0,9.0,0.0,Snack,250.0,"['gutFriendly', 'wholeFood', 'highFibre', 'lowCarb']",,,,"['gutFriendly', 'highFibre', 'lowCarb']"
Sea Salt (coarse 1/4 tsp),Condiment,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,Snack,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Biryani (Chicken 1.5 cups),Meal/Meat,520.0,28.0,60.0,18.0,5.0,6.0,900.0,75.0,Dinner,0.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']"
Raita (2 tbsp),Condiment/Dairy,30.0,1.0,2.0,2.0,0.5,1.5,100.0,5.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Lassi (Mango 1 cup),Beverage,180.0,5.0,30.0,4.0,1.0,28.0,60.0,15.0,Snack,240.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Samosa (1 piece vegetable),Snack/Processed,130.0,2.0,18.0,6.0,2.0,1.0,300.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'processed', 'lowFibre']",,,,"['lowProtein', 'lowFibre']"
Tamarind Chutney (1 tbsp),Condiment,20.0,0.1,5.0,0.0,0.5,4.0,120.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Mint Chutney (1 tbsp),Condiment,5.0,0.2,0.5,0.0,0.3,0.2,150.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Pani Puri (6 pcs),Snack/Processed,200.0,4.0,35.0,5.0,3.0,2.0,400.0,0.0,Snack,0.0,"['lowProtein', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['lowProtein', 'energyBoost', 'highCarb']"
Passion Fruit (1 fruit),Fruit,17.0,0.4,4.2,0.1,1.9,2.0,5.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Kimchi Jjigae (1 bowl),Meal/Soup,350.0,15.0,20.0,22.0,5.0,6.0,1200.0,30.0,Dinner,500.0,"['highProtein', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'energyBoost', 'gutFriendly', 'highFibre']"
Silken Tofu (3oz in soup),Protein/Vegetarian,45.0,5.0,2.0,2.5,0.5,1.0,5.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Pork Belly (1 oz in soup),Protein/Meat,145.0,3.0,0.0,15.0,0.0,0.0,150.0,20.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Gochugaru (1 tsp),Condiment,10.0,0.3,1.8,0.3,0.5,0.3,1.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Gochujang (1 tbsp),Condiment,30.0,0.5,6.0,0.0,0.5,4.0,200.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
